Year,Type,Product group,Producer,Code,Volume,Cost per unit,Price per unit
2011,Convenience stores,Meat,J&F,|13/12/38|,420,6.02,8.433333333
2011,Convenience stores,Meat,J&F,|13/13/98|,480,6.14,7.413333333
2011,Convenience stores,Meat,J&F,|13/13/99|,528,5.373333333,7.613333333
2011,Convenience stores,Coffee,J&F,|13/01/01|,4836,0.74,0.96
2011,Convenience stores,Coffee,J&F,|13/01/01a|,5928,0.95,0.99
2011,Convenience stores,Coffee,J&F,|13/01/02|,5712,0.89,0.97
2011,Convenience stores,Coffee,J&F,|13/01/03|,4872,0.62,0.9
2011,Convenience stores,Coffee,J&F,|13/01/04|,6228,0.65,1.07
2011,Convenience stores,Coffee,J&F,|13/01/05|,9588,0.92,1.01
2011,Convenience stores,Coffee,J&F,|13/01/06|,7836,1.19,0.96
2011,Convenience stores,Coffee,J&F,|13/01/07|,7560,1.02,1.09
2011,Convenience stores,Coffee,J&F,|13/01/30|,8556,0.99,1.1
2011,Convenience stores,Coffee,J&F,|13/11/01|,9024,0.51,1.15
2011,Convenience stores,Coffee,J&F,|13/11/01a|,7260,1.04,0.98
2011,Convenience stores,Coffee,J&F,|13/11/02|,9456,0.85,1.17
2011,Convenience stores,Coffee,J&F,|13/11/03|,7488,1.19,0.91
2011,Convenience stores,Coffee,J&F,|13/11/04|,7176,0.56,1.13
2011,Convenience stores,Coffee,J&F,|13/12/01|,7140,0.72,0.91
2011,Convenience stores,Coffee,J&F,|13/12/02|,6996,1.2,0.94
2011,Convenience stores,Coffee,J&F,|13/12/03|,4836,1.18,0.96
2011,Convenience stores,Coffee,J&F,|13/12/04|,8868,0.5,1.01
2011,Convenience stores,Coffee,J&F,|13/12/05|,5424,0.82,1.11
2011,Convenience stores,Coffee,J&F,|13/12/06|,6864,0.86,0.95
2011,Convenience stores,Coffee,J&F,|13/12/07|,8784,1.05,0.99
2011,Convenience stores,Coffee,J&F,|13/12/08|,6780,0.55,1.02
2011,Convenience stores,Coffee,J&F,|13/12/09|,5292,0.51,1.13
2011,Convenience stores,Coffee,J&F,|13/12/10|,6768,1.12,0.94
2011,Convenience stores,Coffee,J&F,|13/12/11|,5940,0.84,1.18
2011,Convenience stores,Coffee,J&F,|13/12/12|,4932,0.48,1.15
2011,Convenience stores,Coffee,J&F,|13/12/13|,9084,0.44,0.9
2011,Convenience stores,Coffee,J&F,|13/12/14|,5580,0.63,1
2011,Convenience stores,Coffee,J&F,|13/12/15|,5460,0.71,0.95
2011,Convenience stores,Coffee,J&F,|13/12/16|,6480,0.53,1.14
2011,Convenience stores,Coffee,J&F,|13/12/17|,6660,0.74,1.08
2011,Convenience stores,Coffee,J&F,|13/12/18|,7332,0.78,1.2
2011,Convenience stores,Coffee,J&F,|13/12/19|,6480,0.68,1.07
2011,Convenience stores,Coffee,J&F,|13/12/20|,7908,0.46,0.99
2011,Convenience stores,Coffee,J&F,|13/12/21|,9348,0.5,0.98
2011,Convenience stores,Coffee,J&F,|13/12/22|,4992,0.64,0.98
2011,Convenience stores,Coffee,J&F,|13/12/23|,7956,0.88,0.94
2011,Convenience stores,Coffee,J&F,|13/12/24|,6348,0.56,1.16
2011,Convenience stores,Coffee,J&F,|13/12/25|,6456,0.67,1.19
2011,Convenience stores,Coffee,J&F,|13/12/26|,9288,1.17,1.12
